Game,P1_position,P1_average_reward,P1_Q1_passes,P1_Q1_discards,P1_Q2_passes,P1_Q2_discards,P1_Q3_passes,P1_Q3_discards,P1_Q4_passes,P1_Q4_discards,P2_position,P2_average_reward,P2_Q1_passes,P2_Q1_discards,P2_Q2_passes,P2_Q2_discards,P2_Q3_passes,P2_Q3_discards,P2_Q4_passes,P2_Q4_discards,P3_position,P3_average_reward,P3_Q1_passes,P3_Q1_discards,P3_Q2_passes,P3_Q2_discards,P3_Q3_passes,P3_Q3_discards,P3_Q4_passes,P3_Q4_discards,P4_position,P4_average_reward,P4_Q1_passes,P4_Q1_discards,P4_Q2_passes,P4_Q2_discards,P4_Q3_passes,P4_Q3_discards,P4_Q4_passes,P4_Q4_discards
0,0,0.02258064516129032,3,4,6,1,6,1,4,3,2,-0.011874999999999998,7,5,7,5,10,2,11,1,3,-0.01169811320754717,10,3,10,3,8,5,12,1,1,-0.011914893617021277,9,2,8,3,11,0,6,5
1,0,0.012444444444444445,8,3,7,4,7,4,10,1,1,-0.011956521739130433,8,3,8,3,9,2,10,1,2,-0.011956521739130433,11,0,8,3,8,3,7,4,3,-0.01183673469387755,7,5,9,3,12,0,11,1
2,1,-0.011666666666666667,5,8,12,1,11,2,12,1,2,-0.011636363636363637,11,2,9,4,11,2,9,4,3,-0.011607142857142856,12,2,10,4,11,3,12,2,0,0.011956521739130435,11,0,9,2,8,3,9,2
3,2,-0.012195121951219511,8,2,6,4,7,3,7,3,3,-0.012142857142857143,6,4,7,3,10,0,10,0,0,0.02607142857142857,5,2,6,1,4,3,3,4,1,-0.012368421052631579,6,3,7,2,9,0,6,3
4,1,-0.0125,6,3,6,3,6,3,6,3,3,-0.011956521739130433,8,3,9,2,8,3,9,2,2,-0.012368421052631579,6,3,7,2,7,2,7,2,0,0.020606060606060603,4,4,5,3,8,0,5,3
5,0,0.01805555555555556,6,3,7,2,6,3,7,2,3,-0.012093023255813955,9,1,9,1,6,4,9,1,1,-0.012432432432432432,7,2,8,1,7,2,5,4,2,-0.01225,5,5,5,5,9,1,8,2
6,1,-0.012647058823529412,4,4,5,3,6,2,7,1,0,0.02258064516129032,6,1,5,2,6,1,5,2,2,-0.012195121951219511,7,3,8,2,7,3,6,4,3,-0.012093023255813955,6,4,8,2,8,2,8,2
7,3,-0.012307692307692308,5,4,5,4,8,1,7,2,0,0.023666666666666666,3,4,6,1,4,3,5,2,1,-0.012647058823529412,6,2,7,1,5,3,6,2,2,-0.012368421052631579,5,4,9,0,6,3,6,3
8,3,-0.0125,6,3,7,2,6,3,7,2,0,0.03590909090909091,5,0,2,3,4,1,2,3,2,-0.012647058823529412,4,4,7,1,7,1,5,3,1,-0.013000000000000001,6,1,5,2,5,2,6,1
9,1,-0.012368421052631579,8,1,6,3,6,3,7,2,2,-0.012195121951219511,7,3,6,4,8,2,9,1,3,-0.012045454545454547,9,2,8,3,9,2,8,3,0,0.016578947368421054,6,3,6,3,9,0,7,2
