Game,P1_position,P1_average_reward,P1_Q1_passes,P1_Q1_discards,P1_Q2_passes,P1_Q2_discards,P1_Q3_passes,P1_Q3_discards,P1_Q4_passes,P1_Q4_discards,P2_position,P2_average_reward,P2_Q1_passes,P2_Q1_discards,P2_Q2_passes,P2_Q2_discards,P2_Q3_passes,P2_Q3_discards,P2_Q4_passes,P2_Q4_discards,P3_position,P3_average_reward,P3_Q1_passes,P3_Q1_discards,P3_Q2_passes,P3_Q2_discards,P3_Q3_passes,P3_Q3_discards,P3_Q4_passes,P3_Q4_discards,P4_position,P4_average_reward,P4_Q1_passes,P4_Q1_discards,P4_Q2_passes,P4_Q2_discards,P4_Q3_passes,P4_Q3_discards,P4_Q4_passes,P4_Q4_discards
10,1,-0.012142857142857143,8,2,6,4,7,3,9,1,2,-0.012093023255813955,7,3,9,1,7,3,8,2,3,-0.011956521739130433,7,4,9,2,7,4,10,1,0,0.01404761904761905,6,4,7,3,8,2,6,4
11,1,-0.012368421052631579,3,6,7,2,7,2,8,1,3,-0.0118,10,2,8,4,12,0,10,2,2,-0.01183673469387755,11,1,11,1,8,4,8,4,0,0.01805555555555556,8,1,4,5,7,2,6,3
12,1,-0.0125,4,5,7,2,7,2,8,1,3,-0.012195121951219511,9,1,9,1,7,3,8,2,2,-0.01225,7,3,9,1,6,4,8,2,0,0.0215625,4,4,6,2,6,2,7,1
13,0,0.0215625,4,4,7,1,8,0,3,5,1,-0.0125,8,1,4,5,8,1,6,3,2,-0.012432432432432432,5,4,8,1,6,3,9,0,3,-0.011914893617021277,7,4,9,2,9,2,9,2
14,0,0.016578947368421054,6,3,5,4,5,4,9,0,3,-0.01183673469387755,9,3,8,4,12,0,9,3,1,-0.012093023255813955,8,2,9,1,6,4,8,2,2,-0.01183673469387755,10,2,12,0,6,6,10,2
15,0,0.02258064516129032,3,4,5,2,3,4,7,0,2,-0.012093023255813955,8,2,7,3,9,1,7,3,1,-0.012142857142857143,7,3,8,2,6,4,8,2,3,-0.011914893617021277,5,6,10,1,8,3,8,3
16,2,-0.012571428571428572,5,3,5,3,8,0,7,1,3,-0.011999999999999999,9,2,9,2,8,3,6,5,1,-0.01310344827586207,5,2,4,3,5,2,4,3,0,0.0304,3,3,5,1,5,1,5,1
17,2,-0.012142857142857143,6,4,8,2,9,1,9,1,1,-0.012195121951219511,7,3,8,2,8,2,7,3,3,-0.012045454545454547,9,2,8,3,7,4,8,3,0,0.02607142857142857,3,4,5,2,5,2,4,3
18,2,-0.011914893617021277,8,3,8,3,10,1,8,3,3,-0.01169811320754717,9,4,9,4,11,2,11,2,1,-0.011956521739130433,10,1,10,1,9,2,7,4,0,0.028846153846153848,3,3,3,3,3,3,5,1
19,3,-0.012045454545454547,9,2,9,2,8,3,9,2,0,0.019705882352941174,6,2,8,0,6,2,6,2,2,-0.012142857142857143,6,4,8,2,6,4,10,0,1,-0.0125,6,3,4,5,9,0,6,3
20,0,0.023666666666666666,5,2,6,1,6,1,5,2,3,-0.011999999999999999,8,3,5,6,9,2,11,0,2,-0.012093023255813955,8,2,7,3,7,3,6,4,1,-0.012142857142857143,9,1,7,3,5,5,8,2
21,0,0.01404761904761905,5,5,6,4,10,0,8,2,1,-0.011914893617021277,9,2,8,3,6,5,10,1,3,-0.01183673469387755,10,2,10,2,8,4,12,0,2,-0.011874999999999998,9,3,9,3,9,3,8,4
22,1,-0.0125,4,5,7,2,6,3,7,2,0,0.02258064516129032,4,3,5,2,4,3,5,2,3,-0.011956521739130433,9,2,8,3,9,2,10,1,2,-0.011999999999999999,8,3,10,1,11,0,7,4
23,0,0.0215625,3,5,6,2,7,1,5,3,2,-0.012093023255813955,6,4,7,3,6,4,8,2,3,-0.0118,11,1,12,0,9,3,6,6,1,-0.012571428571428572,5,3,6,2,6,2,7,1
24,1,-0.012195121951219511,5,5,10,0,9,1,6,4,2,-0.012195121951219511,9,1,8,2,5,5,10,0,0,0.014634146341463417,7,3,8,2,10,0,8,2,3,-0.011999999999999999,8,3,8,3,10,1,10,1
25,0,0.02482758620689655,4,3,6,1,3,4,5,2,1,-0.0125,7,2,6,3,7,2,7,2,2,-0.012368421052631579,5,4,8,1,6,3,7,2,3,-0.012093023255813955,8,2,7,3,10,0,7,3
26,1,-0.012903225806451613,3,4,5,2,4,3,5,2,2,-0.012571428571428572,6,2,5,3,7,1,6,2,0,0.023666666666666666,6,1,5,2,4,3,6,1,3,-0.01225,8,2,8,2,10,0,4,6
27,2,-0.012432432432432432,6,3,6,3,6,3,7,2,0,0.020606060606060603,5,3,7,1,5,3,6,2,3,-0.012368421052631579,6,3,5,4,8,1,9,0,1,-0.0125,7,2,8,1,6,3,6,3
28,3,-0.012045454545454547,9,2,9,2,7,4,7,4,2,-0.012093023255813955,8,2,7,3,6,4,9,1,0,0.01805555555555556,7,2,5,4,6,3,7,2,1,-0.012368421052631579,5,4,8,1,6,3,9,0
29,2,-0.012368421052631579,6,3,8,1,8,1,6,3,1,-0.012432432432432432,8,1,6,3,6,3,7,2,0,0.020606060606060603,6,2,5,3,3,5,8,0,3,-0.012045454545454547,5,6,11,0,8,3,8,3
30,2,-0.012647058823529412,6,2,6,2,8,0,5,3,1,-0.01310344827586207,5,2,7,0,4,3,3,4,3,-0.01225,6,4,7,3,7,3,8,2,0,0.03590909090909091,3,2,4,1,3,2,4,1
31,1,-0.012368421052631579,5,4,8,1,5,4,8,1,2,-0.012093023255813955,5,5,9,1,7,3,9,1,3,-0.011999999999999999,9,2,8,3,10,1,8,3,0,0.0215625,7,1,5,3,4,4,5,3
32,1,-0.012647058823529412,7,1,5,3,4,4,8,0,3,-0.012142857142857143,8,2,7,3,7,3,8,2,2,-0.012307692307692308,7,2,8,1,7,2,7,2,0,0.03391304347826087,4,1,1,4,3,2,5,0
33,2,-0.012727272727272726,5,3,3,5,6,2,7,1,3,-0.01225,8,2,8,2,8,2,7,3,0,0.0215625,5,3,8,0,3,5,5,3,1,-0.012727272727272726,3,5,7,1,7,1,6,2
34,1,-0.012368421052631579,6,3,8,1,8,1,7,2,2,-0.012307692307692308,6,3,8,1,8,1,7,2,3,-0.012093023255813955,7,3,8,2,4,6,10,0,0,0.018857142857142854,6,2,4,4,5,3,6,2
35,0,0.015250000000000003,7,3,7,3,6,4,8,2,1,-0.012093023255813955,8,2,8,2,8,2,7,3,2,-0.012093023255813955,8,2,6,4,8,2,9,1,3,-0.01183673469387755,10,2,10,2,6,6,11,1
36,0,0.01805555555555556,5,4,6,3,7,2,8,1,3,-0.011874999999999998,10,2,7,5,9,3,10,2,1,-0.012195121951219511,6,4,9,1,8,2,7,3,2,-0.012093023255813955,7,3,9,1,7,3,9,1
37,3,-0.012093023255813955,6,4,5,5,9,1,10,0,2,-0.012195121951219511,9,1,7,3,7,3,9,1,0,0.017297297297297298,6,3,6,3,7,2,6,3,1,-0.012307692307692308,6,3,9,0,5,4,8,1
38,0,0.013488372093023258,8,2,7,3,9,1,8,2,3,-0.01183673469387755,8,4,9,3,8,4,10,2,1,-0.011874999999999998,7,5,10,2,9,3,9,3,2,-0.011874999999999998,8,4,9,3,11,1,11,1
39,0,0.020606060606060603,4,4,5,3,5,3,6,2,2,-0.012432432432432432,6,3,6,3,7,2,9,0,3,-0.012195121951219511,7,3,7,3,9,1,8,2,1,-0.012432432432432432,5,4,9,0,7,2,7,2
40,0,0.013488372093023258,6,4,6,4,10,0,9,1,1,-0.011999999999999999,9,2,8,3,9,2,9,2,3,-0.0118,12,0,8,4,10,2,8,4,2,-0.011874999999999998,10,2,9,3,9,3,8,4
41,0,0.019705882352941174,5,3,6,2,5,3,6,2,3,-0.012093023255813955,6,4,7,3,9,1,8,2,1,-0.012368421052631579,6,3,6,3,8,1,8,1,2,-0.012142857142857143,8,2,8,2,6,4,9,1
42,0,0.02607142857142857,3,4,4,3,5,2,5,2,1,-0.012727272727272726,6,2,7,1,5,3,6,2,3,-0.012307692307692308,8,1,4,5,8,1,7,2,2,-0.012368421052631579,7,2,6,3,7,2,6,3
43,0,0.023666666666666666,5,2,5,2,3,4,6,1,2,-0.012142857142857143,6,4,8,2,7,3,10,0,3,-0.01183673469387755,11,1,8,4,7,5,9,3,1,-0.012195121951219511,7,3,7,3,7,3,9,1
44,1,-0.012571428571428572,4,4,7,1,5,3,6,2,2,-0.0125,5,4,6,3,7,2,8,1,3,-0.012432432432432432,7,2,8,1,7,2,7,2,0,0.019705882352941174,6,2,6,2,6,2,6,2
45,2,-0.012195121951219511,7,3,9,1,5,5,8,2,3,-0.012142857142857143,7,3,7,3,8,2,8,2,0,0.027407407407407408,3,3,4,2,4,2,6,0,1,-0.0125,6,3,6,3,6,3,6,3
46,2,-0.012045454545454547,7,4,8,3,11,0,7,4,0,0.017297297297297298,7,2,8,1,6,3,8,1,3,-0.011914893617021277,7,4,8,3,9,2,11,0,1,-0.012432432432432432,6,3,7,2,7,2,4,5
47,0,0.02258064516129032,5,2,5,2,6,1,6,1,3,-0.011914893617021277,6,5,9,2,8,3,9,2,1,-0.01225,7,3,8,2,9,1,7,3,2,-0.012142857142857143,9,1,7,3,8,2,7,3
48,0,0.019705882352941174,3,5,4,4,8,0,8,0,1,-0.012432432432432432,7,2,6,3,8,1,6,3,3,-0.012045454545454547,9,2,8,3,7,4,7,4,2,-0.012195121951219511,7,3,9,1,6,4,10,0
49,2,-0.012195121951219511,5,5,6,4,7,3,10,0,1,-0.012432432432432432,5,4,6,3,6,3,7,2,3,-0.012142857142857143,8,2,8,2,6,4,9,1,0,0.019705882352941174,5,3,7,1,6,2,6,2
50,2,-0.011956521739130433,8,3,8,3,11,0,9,2,0,0.02482758620689655,4,3,6,1,4,3,3,4,3,-0.011914893617021277,10,1,11,0,8,3,7,4,1,-0.011999999999999999,5,6,7,4,11,0,10,1
51,0,0.0431578947368421,1,3,3,1,3,1,3,1,3,-0.0118,7,5,7,5,11,1,12,0,2,-0.011999999999999999,9,2,8,3,8,3,10,1,1,-0.012307692307692308,7,2,7,2,7,2,6,3
52,0,0.020606060606060603,4,4,5,3,8,0,4,4,3,-0.011956521739130433,9,2,7,4,10,1,9,2,2,-0.012093023255813955,7,3,10,0,8,2,8,2,1,-0.012307692307692308,6,3,7,2,5,4,7,2
53,0,0.027407407407407408,5,1,4,2,3,3,3,3,1,-0.012307692307692308,8,1,8,1,7,2,6,3,3,-0.011956521739130433,9,2,9,2,11,0,8,3,2,-0.012045454545454547,6,5,9,2,9,2,9,2
54,0,0.02607142857142857,4,3,3,4,4,3,4,3,2,-0.012142857142857143,6,4,8,2,8,2,8,2,1,-0.012195121951219511,6,4,8,2,8,2,8,2,3,-0.012045454545454547,7,4,11,0,8,3,8,3
55,1,-0.011999999999999999,7,4,9,2,7,4,10,1,3,-0.01183673469387755,10,2,9,3,9,3,8,4,0,0.027407407407407408,4,2,2,4,4,2,5,1,2,-0.011999999999999999,10,1,9,2,8,3,7,4
56,1,-0.012727272727272726,6,2,6,2,3,5,5,3,2,-0.012432432432432432,7,2,6,3,8,1,8,1,3,-0.01183673469387755,7,5,11,1,10,2,12,0,0,0.0431578947368421,1,3,3,1,2,2,3,1
57,1,-0.012647058823529412,5,3,5,3,8,0,7,1,0,0.02482758620689655,5,2,5,2,5,2,5,2,2,-0.012432432432432432,6,3,7,2,8,1,7,2,3,-0.012093023255813955,8,2,7,3,6,4,7,3
58,0,0.01805555555555556,5,4,8,1,6,3,6,3,3,-0.0118,8,4,7,5,10,2,9,3,1,-0.0125,7,2,6,3,6,3,7,2,2,-0.012142857142857143,9,1,8,2,7,3,8,2
59,0,0.018857142857142854,5,3,6,2,5,3,7,1,1,-0.012432432432432432,4,5,8,1,8,1,8,1,3,-0.012093023255813955,8,2,7,3,6,4,7,3,2,-0.012195121951219511,9,1,5,5,7,3,8,2
60,2,-0.012368421052631579,6,3,6,3,8,1,7,2,0,0.02607142857142857,4,3,5,2,3,4,5,2,1,-0.012727272727272726,6,2,5,3,8,0,6,2,3,-0.012195121951219511,9,1,7,3,5,5,8,2
61,1,-0.012368421052631579,6,3,5,4,8,1,8,1,2,-0.012307692307692308,6,3,8,1,8,1,4,5,3,-0.01225,7,3,5,5,7,3,7,3,0,0.02258064516129032,4,3,6,1,6,1,5,2
62,0,0.03208333333333333,4,2,2,4,5,1,3,3,2,-0.012195121951219511,7,3,7,3,8,2,8,2,3,-0.011999999999999999,8,3,10,1,9,2,7,4,1,-0.01310344827586207,3,4,7,0,3,4,4,3
63,1,-0.012432432432432432,6,3,7,2,7,2,7,2,3,-0.012195121951219511,8,2,8,2,6,4,9,1,2,-0.012368421052631579,8,1,8,1,5,4,9,0,0,0.020606060606060603,5,3,5,3,8,0,6,2
64,0,0.018857142857142854,6,2,5,3,5,3,4,4,2,-0.012307692307692308,6,3,6,3,7,2,7,2,1,-0.012368421052631579,7,2,9,0,6,3,7,2,3,-0.01225,6,4,8,2,7,3,7,3
65,0,0.04941176470588235,1,3,2,2,1,3,3,1,2,-0.012142857142857143,7,3,5,5,9,1,10,0,3,-0.012093023255813955,5,5,8,2,6,4,8,2,1,-0.0125,8,1,9,0,5,4,3,6
66,0,0.02258064516129032,6,1,4,3,4,3,5,2,1,-0.012195121951219511,8,2,9,1,6,4,8,2,2,-0.012093023255813955,9,1,9,1,9,1,6,4,3,-0.011874999999999998,8,4,10,2,6,6,11,1
67,3,-0.012093023255813955,7,3,5,5,7,3,9,1,1,-0.012368421052631579,6,3,4,5,9,0,6,3,0,0.0215625,5,3,6,2,6,2,6,2,2,-0.012142857142857143,6,4,8,2,9,1,4,6
68,0,0.02258064516129032,4,3,6,1,4,3,5,2,2,-0.012195121951219511,7,3,7,3,10,0,9,1,1,-0.012195121951219511,9,1,7,3,7,3,7,3,3,-0.012045454545454547,7,4,9,2,10,1,8,3
69,1,-0.012903225806451613,6,1,4,3,4,3,3,4,2,-0.012432432432432432,5,4,6,3,8,1,7,2,0,0.02482758620689655,4,3,5,2,5,2,5,2,3,-0.012142857142857143,7,3,9,1,8,2,7,3
70,2,-0.0125,6,3,6,3,6,3,6,3,1,-0.012727272727272726,5,3,8,0,6,2,5,3,0,0.027407407407407408,4,2,3,3,5,1,3,3,3,-0.012432432432432432,6,3,6,3,8,1,9,0
71,3,-0.012142857142857143,8,2,8,2,7,3,8,2,0,0.017297297297297298,4,5,7,2,6,3,8,1,1,-0.01225,7,3,5,5,7,3,9,1,2,-0.012195121951219511,7,3,8,2,8,2,7,3
72,2,-0.012142857142857143,7,3,9,1,7,3,7,3,0,0.02258064516129032,4,3,5,2,4,3,5,2,3,-0.011956521739130433,6,5,8,3,11,0,10,1,1,-0.01225,7,3,9,1,8,2,5,5
73,1,-0.011914893617021277,7,4,9,2,7,4,10,1,2,-0.011764705882352941,7,5,8,4,12,0,11,1,3,-0.011666666666666667,12,1,12,1,7,6,10,3,0,0.02258064516129032,3,4,4,3,6,1,5,2
74,1,-0.011914893617021277,10,1,8,3,7,4,8,3,0,0.014634146341463417,8,2,8,2,8,2,9,1,3,-0.01169811320754717,11,2,11,2,9,4,10,3,2,-0.01183673469387755,7,5,9,3,10,2,12,0
75,1,-0.013333333333333332,4,2,4,2,3,3,3,3,0,0.0304,4,2,3,3,4,2,4,2,3,-0.012571428571428572,5,3,7,1,6,2,7,1,2,-0.012727272727272726,5,3,7,1,7,1,5,3
76,1,-0.012142857142857143,5,5,8,2,8,2,8,2,0,0.0215625,4,4,5,3,6,2,6,2,2,-0.012093023255813955,7,3,8,2,9,1,7,3,3,-0.011956521739130433,9,2,9,2,6,5,10,1
77,2,-0.012307692307692308,7,2,6,3,6,3,6,3,0,0.0215625,6,2,5,3,5,3,5,3,3,-0.012142857142857143,8,2,7,3,8,2,8,2,1,-0.012812500000000001,5,3,7,1,6,2,6,2
78,3,-0.0118,7,5,10,2,10,2,8,4,1,-0.012093023255813955,6,4,9,1,4,6,8,2,2,-0.01183673469387755,11,1,8,4,10,2,11,1,0,0.015250000000000003,7,3,5,5,9,1,5,5
79,2,-0.011914893617021277,10,1,8,3,10,1,7,4,3,-0.011914893617021277,5,6,10,1,10,1,8,3,1,-0.011999999999999999,7,4,9,2,11,0,8,3,0,0.0215625,7,1,6,2,4,4,3,5
80,0,0.020606060606060603,6,2,6,2,6,2,4,4,2,-0.01225,7,3,8,2,10,0,7,3,1,-0.012307692307692308,6,3,7,2,7,2,7,2,3,-0.012045454545454547,8,3,6,5,9,2,8,3
81,1,-0.012142857142857143,6,4,5,5,9,1,10,0,3,-0.01183673469387755,10,2,10,2,9,3,10,2,0,0.015250000000000003,7,3,6,4,7,3,8,2,2,-0.012045454545454547,10,1,11,0,7,4,9,2
82,0,0.016578947368421054,6,3,5,4,6,3,8,1,2,-0.011999999999999999,8,3,8,3,9,2,8,3,1,-0.012045454545454547,8,3,10,1,5,6,9,2,3,-0.011874999999999998,10,2,8,4,10,2,11,1
83,0,0.0304,3,3,4,2,4,2,4,2,3,-0.01225,8,2,6,4,6,4,9,1,1,-0.012647058823529412,5,3,4,4,6,2,7,1,2,-0.012368421052631579,6,3,9,0,6,3,5,4
84,3,-0.012432432432432432,4,5,4,5,8,1,9,0,2,-0.012571428571428572,6,2,6,2,7,1,7,1,0,0.02607142857142857,6,1,6,1,4,3,3,4,1,-0.012812500000000001,5,3,7,1,8,0,5,3
85,3,-0.011956521739130433,7,4,8,3,9,2,9,2,2,-0.011999999999999999,6,5,9,2,10,1,10,1,0,0.015250000000000003,6,4,9,1,6,4,7,3,1,-0.012142857142857143,9,1,8,2,7,3,6,4
86,3,-0.011999999999999999,9,2,8,3,7,4,8,3,2,-0.012045454545454547,8,3,10,1,8,3,8,3,1,-0.01310344827586207,6,1,5,2,4,3,4,3,0,0.0304,2,4,4,2,4,2,6,0
87,3,-0.01183673469387755,8,4,11,1,9,3,9,3,1,-0.012142857142857143,6,4,8,2,10,0,7,3,2,-0.011956521739130433,7,4,7,4,10,1,9,2,0,0.018857142857142854,6,2,6,2,5,3,5,3
88,2,-0.012142857142857143,7,3,4,6,10,0,7,3,1,-0.013000000000000001,4,3,5,2,2,5,5,2,3,-0.012093023255813955,9,1,6,4,6,4,6,4,0,0.028846153846153848,3,3,3,3,4,2,6,0
89,3,-0.011999999999999999,9,2,8,3,7,4,8,3,1,-0.012571428571428572,5,3,7,1,5,3,7,1,2,-0.01225,8,2,8,2,6,4,7,3,0,0.0431578947368421,1,3,3,1,2,2,2,2
90,2,-0.012571428571428572,5,3,7,1,5,3,7,1,3,-0.0125,5,4,5,4,7,2,8,1,0,0.02258064516129032,4,3,5,2,5,2,6,1,1,-0.012812500000000001,4,4,6,2,5,3,4,4
91,0,0.02607142857142857,3,4,7,0,5,2,5,2,2,-0.012093023255813955,8,2,7,3,10,0,6,4,3,-0.012045454545454547,8,3,7,4,10,1,9,2,1,-0.012647058823529412,6,2,6,2,6,2,4,4
92,0,0.0215625,4,4,5,3,5,3,7,1,3,-0.012142857142857143,8,2,8,2,6,4,9,1,1,-0.012432432432432432,7,2,6,3,8,1,5,4,2,-0.012368421052631579,5,4,8,1,6,3,7,2
93,0,0.017297297297297298,3,6,7,2,8,1,8,1,3,-0.011956521739130433,9,2,10,1,9,2,8,3,1,-0.01225,9,1,4,6,8,2,7,3,2,-0.012142857142857143,8,2,7,3,7,3,8,2
94,0,0.03590909090909091,3,2,2,3,2,3,4,1,3,-0.012432432432432432,8,1,5,4,6,3,6,3,2,-0.012571428571428572,5,3,6,2,5,3,8,0,1,-0.012903225806451613,4,3,7,0,6,1,4,3
95,0,0.03208333333333333,3,3,3,3,3,3,3,3,1,-0.01310344827586207,5,2,4,3,6,1,5,2,3,-0.012307692307692308,7,2,8,1,8,1,5,4,2,-0.012307692307692308,6,3,6,3,5,4,8,1
96,1,-0.012307692307692308,7,2,8,1,6,3,4,5,0,0.02607142857142857,6,1,3,4,5,2,3,4,3,-0.012142857142857143,9,1,7,3,7,3,6,4,2,-0.012195121951219511,6,4,7,3,10,0,10,0
97,3,-0.012142857142857143,6,4,9,1,7,3,6,4,1,-0.012368421052631579,8,1,4,5,7,2,7,2,0,0.0215625,7,1,6,2,5,3,6,2,2,-0.01225,6,4,10,0,7,3,8,2
98,0,0.027407407407407408,5,1,3,3,5,1,4,2,1,-0.013000000000000001,4,3,5,2,4,3,5,2,3,-0.012647058823529412,4,4,6,2,6,2,7,1,2,-0.012727272727272726,5,3,6,2,6,2,7,1
99,0,0.027407407407407408,1,5,5,1,3,3,5,1,3,-0.011956521739130433,7,4,8,3,8,3,10,1,1,-0.012142857142857143,10,0,9,1,7,3,8,2,2,-0.012093023255813955,8,2,8,2,9,1,7,3
