Game,P1_position,P1_average_reward,P1_Q1_passes,P1_Q1_discards,P1_Q2_passes,P1_Q2_discards,P1_Q3_passes,P1_Q3_discards,P1_Q4_passes,P1_Q4_discards,P2_position,P2_average_reward,P2_Q1_passes,P2_Q1_discards,P2_Q2_passes,P2_Q2_discards,P2_Q3_passes,P2_Q3_discards,P2_Q4_passes,P2_Q4_discards,P3_position,P3_average_reward,P3_Q1_passes,P3_Q1_discards,P3_Q2_passes,P3_Q2_discards,P3_Q3_passes,P3_Q3_discards,P3_Q4_passes,P3_Q4_discards,P4_position,P4_average_reward,P4_Q1_passes,P4_Q1_discards,P4_Q2_passes,P4_Q2_discards,P4_Q3_passes,P4_Q3_discards,P4_Q4_passes,P4_Q4_discards
0,0,0.015250000000000003,8,2,6,4,9,1,6,4,1,-0.012093023255813955,8,2,6,4,7,3,9,1,2,-0.011914893617021277,9,2,9,2,7,4,8,3,3,-0.011914893617021277,7,4,10,1,8,3,9,2
1,0,0.019705882352941174,5,3,6,2,7,1,6,2,1,-0.012045454545454547,7,4,7,4,11,0,8,3,2,-0.0118,9,3,9,3,11,1,8,4,3,-0.011730769230769229,12,1,8,5,10,3,11,2
2,0,0.0215625,6,2,6,2,6,2,4,4,1,-0.012571428571428572,4,4,7,1,8,0,4,4,2,-0.012142857142857143,7,3,6,4,8,2,10,0,3,-0.012093023255813955,8,2,6,4,10,0,8,2
3,3,-0.011666666666666667,11,2,12,1,10,3,9,4,1,-0.012307692307692308,6,3,6,3,6,3,9,0,2,-0.011956521739130433,8,3,10,1,8,3,9,2,0,0.02482758620689655,5,2,4,3,5,2,6,1
4,2,-0.012142857142857143,9,1,10,0,8,2,6,4,0,0.0304,6,0,3,3,2,4,3,3,3,-0.011999999999999999,9,2,10,1,9,2,8,3,1,-0.012142857142857143,6,4,9,1,8,2,8,2
5,3,-0.011999999999999999,8,3,8,3,9,2,9,2,0,0.02482758620689655,4,3,4,3,5,2,5,2,2,-0.012195121951219511,6,4,8,2,9,1,6,4,1,-0.012727272727272726,7,1,6,2,5,3,5,3
6,2,-0.011914893617021277,8,3,9,2,10,1,9,2,0,0.02482758620689655,4,3,3,4,5,2,3,4,1,-0.011956521739130433,8,3,10,1,10,1,6,5,3,-0.01183673469387755,10,2,10,2,9,3,11,1
7,0,0.03391304347826087,4,1,5,0,3,2,3,2,3,-0.012307692307692308,6,3,9,0,5,4,9,0,1,-0.01310344827586207,4,3,5,2,5,2,6,1,2,-0.012432432432432432,7,2,6,3,8,1,6,3
8,0,0.018857142857142854,5,3,7,1,3,5,6,2,1,-0.011999999999999999,8,3,10,1,11,0,7,4,3,-0.011730769230769229,10,3,10,3,11,2,9,4,2,-0.0118,7,5,10,2,11,1,12,0
9,2,-0.011956521739130433,7,4,9,2,8,3,9,2,3,-0.01183673469387755,8,4,9,3,11,1,9,3,0,0.015897435897435898,6,3,8,1,7,2,6,3,1,-0.011999999999999999,8,3,10,1,8,3,7,4
10,3,-0.011874999999999998,9,3,9,3,10,2,9,3,0,0.0380952380952381,4,1,2,3,2,3,5,0,2,-0.011874999999999998,10,2,9,3,7,5,7,5,1,-0.012142857142857143,7,3,7,3,6,4,8,2
11,1,-0.012432432432432432,7,2,8,1,7,2,6,3,3,-0.011914893617021277,7,4,8,3,8,3,10,1,2,-0.012093023255813955,6,4,9,1,8,2,6,4,0,0.02607142857142857,6,1,5,2,3,4,5,2
12,0,0.0304,5,1,3,3,2,4,5,1,2,-0.012093023255813955,6,4,9,1,8,2,7,3,1,-0.012647058823529412,5,3,8,0,7,1,5,3,3,-0.012045454545454547,6,5,8,3,9,2,10,1
13,0,0.017297297297297298,8,1,5,4,7,2,6,3,3,-0.012195121951219511,7,3,7,3,8,2,8,2,2,-0.01225,7,3,9,1,5,5,8,2,1,-0.012307692307692308,7,2,7,2,8,1,8,1
14,0,0.02607142857142857,6,1,3,4,4,3,4,3,1,-0.01310344827586207,4,3,6,1,5,2,7,0,2,-0.012142857142857143,8,2,10,0,8,2,6,4,3,-0.01183673469387755,8,4,10,2,9,3,9,3
15,1,-0.012045454545454547,7,4,7,4,7,4,9,2,3,-0.0118,6,6,11,1,8,4,12,0,0,0.013488372093023258,7,3,8,2,9,1,8,2,2,-0.01183673469387755,9,3,10,2,10,2,8,4
