Game,P1_position,P1_average_reward,P1_Q1_passes,P1_Q1_discards,P1_Q2_passes,P1_Q2_discards,P1_Q3_passes,P1_Q3_discards,P1_Q4_passes,P1_Q4_discards,P2_position,P2_average_reward,P2_Q1_passes,P2_Q1_discards,P2_Q2_passes,P2_Q2_discards,P2_Q3_passes,P2_Q3_discards,P2_Q4_passes,P2_Q4_discards,P3_position,P3_average_reward,P3_Q1_passes,P3_Q1_discards,P3_Q2_passes,P3_Q2_discards,P3_Q3_passes,P3_Q3_discards,P3_Q4_passes,P3_Q4_discards,P4_position,P4_average_reward,P4_Q1_passes,P4_Q1_discards,P4_Q2_passes,P4_Q2_discards,P4_Q3_passes,P4_Q3_discards,P4_Q4_passes,P4_Q4_discards
16,1,-0.012142857142857143,8,2,6,4,7,3,8,2,2,-0.011999999999999999,8,3,10,1,10,1,9,2,0,0.018857142857142854,5,3,4,4,7,1,6,2,3,-0.011874999999999998,10,2,9,3,9,3,8,4
17,0,0.020606060606060603,4,4,8,0,7,1,4,4,1,-0.012571428571428572,4,4,5,3,6,2,7,1,2,-0.0125,6,3,5,4,6,3,7,2,3,-0.012142857142857143,7,3,8,2,7,3,9,1
18,2,-0.012142857142857143,6,4,5,5,9,1,9,1,1,-0.012142857142857143,5,5,7,3,9,1,6,4,0,0.0215625,6,2,6,2,4,4,4,4,3,-0.012093023255813955,7,3,10,0,7,3,9,1
19,1,-0.012195121951219511,9,1,10,0,7,3,6,4,3,-0.0118,11,1,7,5,10,2,10,2,0,0.01805555555555556,4,5,5,4,9,0,8,1,2,-0.01183673469387755,9,3,10,2,10,2,8,4
20,3,-0.012045454545454547,7,4,9,2,9,2,9,2,1,-0.012142857142857143,7,3,9,1,10,0,5,5,2,-0.012093023255813955,7,3,8,2,6,4,10,0,0,0.019705882352941174,7,1,5,3,6,2,5,3
21,3,-0.011999999999999999,7,4,10,1,11,0,8,3,1,-0.012142857142857143,5,5,6,4,9,1,10,0,2,-0.012093023255813955,7,3,7,3,9,1,8,2,0,0.020606060606060603,6,2,8,0,4,4,4,4
22,2,-0.012571428571428572,5,3,6,2,7,1,6,2,3,-0.012368421052631579,7,2,5,4,7,2,9,0,1,-0.012647058823529412,5,3,8,0,4,4,6,2,0,0.028846153846153848,3,3,3,3,6,0,5,1
23,2,-0.012093023255813955,6,4,8,2,8,2,8,2,3,-0.011956521739130433,8,3,10,1,8,3,8,3,1,-0.012142857142857143,7,3,6,4,7,3,9,1,0,0.023666666666666666,5,2,4,3,4,3,7,0
24,0,0.015250000000000003,7,3,7,3,8,2,8,2,2,-0.011956521739130433,10,1,8,3,9,2,8,3,1,-0.012093023255813955,5,5,9,1,9,1,9,1,3,-0.011764705882352941,9,3,7,5,10,2,11,1
25,3,-0.011956521739130433,7,4,8,3,9,2,9,2,0,0.013488372093023258,7,3,9,1,7,3,10,0,2,-0.011999999999999999,9,2,9,2,8,3,9,2,1,-0.012045454545454547,7,4,7,4,11,0,9,2
26,1,-0.01225,8,2,9,1,7,3,8,2,2,-0.012195121951219511,7,3,5,5,9,1,6,4,3,-0.011999999999999999,8,3,8,3,8,3,10,1,0,0.016578947368421054,4,5,8,1,8,1,7,2
27,0,0.013488372093023258,9,1,4,6,9,1,8,2,3,-0.011666666666666667,9,4,11,2,9,4,13,0,1,-0.011730769230769229,10,3,13,0,9,4,10,3,2,-0.011730769230769229,10,3,7,6,12,1,10,3
28,0,0.023666666666666666,5,2,4,3,3,4,5,2,3,-0.01225,9,1,8,2,7,3,5,5,1,-0.012647058823529412,4,4,6,2,6,2,7,1,2,-0.012307692307692308,5,4,9,0,8,1,5,4
29,2,-0.012812500000000001,5,3,4,4,6,2,6,2,3,-0.012571428571428572,7,1,7,1,5,3,6,2,1,-0.012903225806451613,6,1,4,3,4,3,5,2,0,0.02607142857142857,3,4,6,1,6,1,6,1
30,2,-0.011874999999999998,10,2,9,3,12,0,7,5,3,-0.011874999999999998,9,3,10,2,11,1,10,2,0,0.01404761904761905,8,2,9,1,7,3,7,3,1,-0.011914893617021277,8,3,5,6,11,0,9,2
31,0,0.02258064516129032,5,2,4,3,4,3,7,0,3,-0.01183673469387755,9,3,12,0,9,3,9,3,1,-0.01225,8,2,8,2,4,6,7,3,2,-0.012045454545454547,8,3,7,4,9,2,7,4
32,1,-0.012368421052631579,5,4,6,3,8,1,6,3,0,0.023666666666666666,5,2,5,2,5,2,5,2,2,-0.012307692307692308,6,3,6,3,7,2,7,2,3,-0.011956521739130433,8,3,10,1,10,1,7,4
33,0,0.02258064516129032,5,2,4,3,3,4,7,0,1,-0.012093023255813955,6,4,5,5,8,2,10,0,2,-0.012045454545454547,7,4,10,1,7,4,8,3,3,-0.01183673469387755,10,2,12,0,7,5,9,3
34,1,-0.012368421052631579,6,3,8,1,5,4,6,3,3,-0.011874999999999998,7,5,11,1,10,2,9,3,2,-0.011956521739130433,8,3,10,1,8,3,7,4,0,0.018857142857142854,8,0,5,3,6,2,8,0
35,1,-0.0125,7,2,6,3,6,3,5,4,3,-0.012195121951219511,6,4,10,0,8,2,8,2,0,0.019705882352941174,6,2,8,0,6,2,4,4,2,-0.012432432432432432,6,3,5,4,9,0,8,1
36,2,-0.012195121951219511,6,4,7,3,8,2,8,2,1,-0.012432432432432432,6,3,8,1,6,3,9,0,3,-0.012045454545454547,9,2,6,5,8,3,7,4,0,0.020606060606060603,6,2,6,2,8,0,5,3
37,3,-0.012093023255813955,6,4,6,4,10,0,9,1,0,0.019705882352941174,5,3,6,2,5,3,6,2,1,-0.012432432432432432,6,3,9,0,6,3,5,4,2,-0.012307692307692308,7,2,7,2,7,2,8,1
38,2,-0.012432432432432432,7,2,7,2,6,3,8,1,0,0.027407407407407408,5,1,3,3,2,4,5,1,3,-0.012307692307692308,6,3,7,2,7,2,7,2,1,-0.0125,7,2,9,0,9,0,5,4
39,1,-0.012647058823529412,5,3,8,0,6,2,4,4,3,-0.012195121951219511,5,5,8,2,10,0,7,3,0,0.0304,3,3,4,2,5,1,4,2,2,-0.012647058823529412,5,3,4,4,7,1,7,1
40,1,-0.012045454545454547,8,3,10,1,6,5,9,2,0,0.014634146341463417,9,1,7,3,9,1,8,2,2,-0.011999999999999999,6,5,8,3,11,0,8,3,3,-0.01183673469387755,8,4,10,2,8,4,11,1
41,2,-0.011999999999999999,6,5,8,3,11,0,11,0,3,-0.011914893617021277,9,2,7,4,9,2,10,1,0,0.015250000000000003,7,3,7,3,7,3,8,2,1,-0.012045454545454547,9,2,9,2,9,2,5,6
42,2,-0.012195121951219511,7,3,7,3,7,3,8,2,3,-0.012093023255813955,8,2,8,2,8,2,8,2,1,-0.012307692307692308,7,2,7,2,5,4,8,1,0,0.017297297297297298,6,3,4,5,7,2,7,2
43,0,0.018857142857142854,4,4,8,0,7,1,6,2,1,-0.01225,9,1,8,2,8,2,5,5,2,-0.01225,6,4,8,2,4,6,9,1,3,-0.011999999999999999,9,2,5,6,10,1,9,2
44,0,0.0380952380952381,3,2,2,3,3,2,3,2,1,-0.0125,7,2,7,2,7,2,4,5,2,-0.012307692307692308,6,3,7,2,7,2,7,2,3,-0.012093023255813955,8,2,9,1,6,4,8,2
45,0,0.02258064516129032,5,2,5,2,4,3,6,1,3,-0.011914893617021277,8,3,8,3,10,1,8,3,2,-0.012093023255813955,8,2,7,3,5,5,9,1,1,-0.0125,7,2,7,2,8,1,6,3
46,1,-0.012045454545454547,7,4,10,1,8,3,10,1,3,-0.011956521739130433,9,2,7,4,9,2,9,2,2,-0.011999999999999999,7,4,9,2,11,0,9,2,0,0.013488372093023258,8,2,9,1,8,2,8,2
47,0,0.013488372093023258,5,5,7,3,7,3,9,1,1,-0.011999999999999999,9,2,8,3,11,0,8,3,3,-0.01183673469387755,9,3,12,0,11,1,9,3,2,-0.011956521739130433,9,2,6,5,6,5,10,1
48,0,0.02258064516129032,5,2,4,3,6,1,4,3,2,-0.012307692307692308,6,3,6,3,5,4,7,2,1,-0.012368421052631579,6,3,8,1,9,0,7,2,3,-0.012142857142857143,7,3,6,4,7,3,10,0
49,1,-0.012368421052631579,5,4,7,2,6,3,8,1,3,-0.012045454545454547,8,3,10,1,9,2,6,5,0,0.017297297297297298,7,2,4,5,7,2,8,1,2,-0.012142857142857143,10,0,8,2,8,2,7,3
50,2,-0.012571428571428572,5,3,6,2,3,5,6,2,3,-0.01225,9,1,8,2,10,0,6,4,0,0.0215625,4,4,7,1,6,2,5,3,1,-0.012647058823529412,6,2,6,2,5,3,7,1
51,0,0.01805555555555556,6,3,7,2,5,4,6,3,2,-0.011874999999999998,10,2,10,2,8,4,7,5,3,-0.01183673469387755,6,6,9,3,10,2,12,0,1,-0.012195121951219511,8,2,7,3,8,2,6,4
52,0,0.018857142857142854,3,5,6,2,6,2,6,2,3,-0.01169811320754717,10,3,10,3,10,3,10,3,2,-0.011764705882352941,9,3,10,2,11,1,9,3,1,-0.011914893617021277,10,1,8,3,6,5,9,2
53,0,0.04611111111111111,1,3,2,2,2,2,2,2,2,-0.0125,7,2,8,1,8,1,6,3,3,-0.012307692307692308,7,2,6,3,6,3,7,2,1,-0.012571428571428572,5,3,6,2,5,3,7,1
54,3,-0.012045454545454547,7,4,9,2,9,2,8,3,1,-0.012571428571428572,5,3,6,2,6,2,7,1,2,-0.01225,8,2,6,4,8,2,6,4,0,0.020606060606060603,7,1,5,3,6,2,5,3
55,1,-0.01310344827586207,4,3,6,1,5,2,5,2,2,-0.0125,6,3,4,5,8,1,7,2,3,-0.012093023255813955,8,2,10,0,5,5,7,3,0,0.03391304347826087,3,2,2,3,4,1,5,0
56,2,-0.012045454545454547,8,3,6,5,11,0,9,2,0,0.018857142857142854,6,2,7,1,8,0,5,3,3,-0.011999999999999999,10,1,7,4,9,2,7,4,1,-0.012093023255813955,5,5,7,3,10,0,8,2
57,0,0.016578947368421054,5,4,9,0,6,3,7,2,3,-0.012142857142857143,6,4,9,1,7,3,9,1,1,-0.01225,9,1,8,2,8,2,6,4,2,-0.012142857142857143,7,3,6,4,8,2,10,0
58,1,-0.012812500000000001,6,2,6,2,5,3,6,2,0,0.0304,6,0,5,1,3,3,4,2,3,-0.012307692307692308,7,2,6,3,8,1,5,4,2,-0.012727272727272726,4,4,7,1,8,0,6,2
59,0,0.020606060606060603,6,2,3,5,5,3,6,2,1,-0.012647058823529412,4,4,6,2,5,3,6,2,3,-0.012142857142857143,9,1,8,2,6,4,8,2,2,-0.012307692307692308,7,2,8,1,7,2,6,3
60,1,-0.012571428571428572,5,3,7,1,4,4,8,0,2,-0.012571428571428572,7,1,5,3,4,4,7,1,3,-0.01225,6,4,7,3,9,1,8,2,0,0.0215625,5,3,7,1,7,1,4,4
61,0,0.014634146341463417,7,3,9,1,6,4,6,4,1,-0.012142857142857143,7,3,8,2,6,4,9,1,3,-0.011999999999999999,9,2,8,3,9,2,8,3,2,-0.012093023255813955,7,3,6,4,8,2,10,0
62,2,-0.012307692307692308,7,2,7,2,4,5,9,0,0,0.01805555555555556,6,3,5,4,8,1,4,5,3,-0.01225,8,2,5,5,8,2,9,1,1,-0.012432432432432432,5,4,7,2,9,0,7,2
63,2,-0.012571428571428572,5,3,7,1,6,2,5,3,3,-0.012368421052631579,6,3,7,2,7,2,5,4,0,0.062142857142857146,2,1,3,0,1,2,1,2,1,-0.013214285714285715,6,1,6,1,3,4,5,2
64,3,-0.011874999999999998,9,3,9,3,12,0,7,5,2,-0.012142857142857143,9,1,10,0,4,6,8,2,0,0.019705882352941174,4,4,7,1,4,4,6,2,1,-0.0125,7,2,4,5,8,1,7,2
65,0,0.01404761904761905,8,2,9,1,7,3,7,3,1,-0.012093023255813955,7,3,8,2,7,3,8,2,2,-0.011914893617021277,6,5,9,2,9,2,11,0,3,-0.01183673469387755,9,3,9,3,7,5,12,0
66,0,0.02607142857142857,4,3,5,2,4,3,3,4,3,-0.01225,6,4,10,0,6,4,6,4,1,-0.012727272727272726,7,1,4,4,7,1,7,1,2,-0.01225,8,2,7,3,10,0,6,4
67,0,0.01805555555555556,5,4,8,1,7,2,4,5,2,-0.011999999999999999,8,3,7,4,10,1,10,1,3,-0.011874999999999998,7,5,10,2,12,0,9,3,1,-0.012368421052631579,8,1,7,2,6,3,6,3
68,2,-0.012093023255813955,5,5,6,4,10,0,8,2,3,-0.011999999999999999,9,2,8,3,9,2,8,3,1,-0.012195121951219511,9,1,9,1,8,2,6,4,0,0.027407407407407408,4,2,2,4,4,2,5,1
69,2,-0.0125,5,4,8,1,6,3,6,3,3,-0.012368421052631579,8,1,7,2,7,2,6,3,1,-0.012647058823529412,4,4,8,0,6,2,5,3,0,0.03391304347826087,3,2,3,2,3,2,3,2
70,0,0.015897435897435898,5,4,8,1,7,2,8,1,2,-0.011956521739130433,9,2,7,4,10,1,10,1,3,-0.011874999999999998,9,3,10,2,6,6,8,4,1,-0.012045454545454547,6,5,8,3,9,2,8,3
71,0,0.0215625,7,1,6,2,4,4,5,3,2,-0.012571428571428572,4,4,7,1,7,1,5,3,3,-0.012368421052631579,8,1,8,1,7,2,6,3,1,-0.012647058823529412,6,2,2,6,6,2,8,0
72,1,-0.012903225806451613,2,5,6,1,6,1,7,0,2,-0.012812500000000001,4,4,6,2,6,2,7,1,3,-0.012647058823529412,7,1,7,1,6,2,5,3,0,0.02258064516129032,5,2,3,4,6,1,6,1
73,2,-0.011874999999999998,7,5,10,2,7,5,10,2,0,0.014634146341463417,9,1,5,5,8,2,8,2,1,-0.012045454545454547,9,2,9,2,8,3,8,3,3,-0.01183673469387755,7,5,8,4,11,1,10,2
74,0,0.018857142857142854,6,2,6,2,7,1,2,6,1,-0.012195121951219511,6,4,8,2,7,3,10,0,2,-0.012142857142857143,7,3,5,5,8,2,9,1,3,-0.011764705882352941,9,3,11,1,9,3,9,3
75,1,-0.012307692307692308,5,4,7,2,7,2,6,3,0,0.02258064516129032,4,3,4,3,5,2,6,1,3,-0.012195121951219511,7,3,7,3,8,2,9,1,2,-0.01225,8,2,10,0,6,4,7,3
76,0,0.02482758620689655,4,3,5,2,5,2,5,2,1,-0.012647058823529412,7,1,5,3,3,5,6,2,2,-0.012432432432432432,5,4,8,1,9,0,7,2,3,-0.011999999999999999,9,2,7,4,11,0,9,2
77,1,-0.012093023255813955,5,5,6,4,8,2,9,1,3,-0.011956521739130433,8,3,10,1,9,2,7,4,2,-0.011999999999999999,8,3,10,1,7,4,10,1,0,0.014634146341463417,9,1,6,4,9,1,8,2
78,0,0.0304,5,1,3,3,3,3,3,3,2,-0.012307692307692308,4,5,8,1,9,0,8,1,3,-0.012142857142857143,8,2,7,3,8,2,5,5,1,-0.012903225806451613,4,3,6,1,6,1,6,1
79,2,-0.012195121951219511,4,6,10,0,9,1,8,2,1,-0.012432432432432432,7,2,6,3,7,2,7,2,3,-0.012093023255813955,9,1,8,2,7,3,8,2,0,0.01805555555555556,6,3,9,0,5,4,6,3
80,1,-0.012432432432432432,5,4,5,4,9,0,8,1,2,-0.012195121951219511,8,2,9,1,6,4,5,5,3,-0.012142857142857143,9,1,5,5,8,2,9,1,0,0.0215625,3,5,7,1,5,3,6,2
81,0,0.017297297297297298,6,3,6,3,6,3,7,2,1,-0.012368421052631579,7,2,7,2,7,2,5,4,3,-0.011999999999999999,10,1,9,2,10,1,8,3,2,-0.012045454545454547,5,6,8,3,9,2,10,1
82,1,-0.012368421052631579,4,5,8,1,4,5,9,0,2,-0.012142857142857143,7,3,6,4,8,2,9,1,3,-0.0118,9,3,11,1,6,6,10,2,0,0.016578947368421054,6,3,7,2,7,2,7,2
83,3,-0.012368421052631579,8,1,6,3,6,3,6,3,0,0.03208333333333333,3,3,6,0,4,2,5,1,2,-0.0125,6,3,8,1,6,3,7,2,1,-0.012812500000000001,5,3,6,2,5,3,4,4
84,0,0.01805555555555556,5,4,9,0,8,1,8,1,2,-0.011914893617021277,8,3,5,6,9,2,11,0,1,-0.011956521739130433,8,3,9,2,10,1,8,3,3,-0.011874999999999998,11,1,9,3,5,7,10,2
85,0,0.01404761904761905,5,5,7,3,8,2,8,2,1,-0.012045454545454547,10,1,9,2,9,2,7,4,2,-0.011956521739130433,7,4,7,4,8,3,10,1,3,-0.011730769230769229,10,3,9,4,12,1,12,1
86,0,0.027407407407407408,4,2,4,2,4,2,3,3,2,-0.012647058823529412,6,2,5,3,6,2,4,4,1,-0.013333333333333332,3,3,6,0,5,1,4,2,3,-0.012432432432432432,7,2,8,1,7,2,7,2
87,0,0.0304,2,4,4,2,2,4,6,0,2,-0.011874999999999998,10,2,11,1,11,1,5,7,3,-0.0118,10,2,8,4,9,3,12,0,1,-0.012571428571428572,6,2,6,2,6,2,7,1
88,1,-0.012812500000000001,4,4,6,2,5,3,6,2,3,-0.011874999999999998,9,3,10,2,8,4,9,3,2,-0.01225,8,2,8,2,9,1,7,3,0,0.02258064516129032,6,1,5,2,4,3,5,2
89,0,0.027407407407407408,4,2,4,2,2,4,6,0,1,-0.012903225806451613,4,3,5,2,5,2,7,0,3,-0.011874999999999998,10,2,10,2,7,5,7,5,2,-0.011999999999999999,9,2,8,3,6,5,10,1
90,1,-0.013214285714285715,2,5,5,2,6,1,4,3,0,0.03391304347826087,4,1,4,1,3,2,2,3,3,-0.013000000000000001,6,1,6,1,4,3,4,3,2,-0.013214285714285715,6,1,3,4,6,1,5,2
91,0,0.019705882352941174,4,4,6,2,7,1,8,0,1,-0.012571428571428572,5,3,6,2,7,1,5,3,3,-0.012432432432432432,9,0,8,1,5,4,7,2,2,-0.0125,6,3,4,5,9,0,7,2
92,0,0.02482758620689655,3,4,5,2,4,3,4,3,3,-0.011956521739130433,8,3,7,4,8,3,11,0,1,-0.012045454545454547,8,3,9,2,7,4,9,2,2,-0.011999999999999999,7,4,8,3,11,0,7,4
93,1,-0.012307692307692308,6,3,7,2,9,0,3,6,0,0.020606060606060603,6,2,5,3,5,3,8,0,2,-0.012307692307692308,5,4,6,3,8,1,9,0,3,-0.012195121951219511,7,3,10,0,6,4,8,2
94,1,-0.012432432432432432,5,4,6,3,8,1,9,0,2,-0.012368421052631579,5,4,4,5,8,1,9,0,3,-0.012307692307692308,6,3,8,1,6,3,8,1,0,0.01805555555555556,8,1,9,0,7,2,4,5
95,0,0.01805555555555556,4,5,5,4,7,2,7,2,1,-0.012368421052631579,6,3,8,1,7,2,5,4,2,-0.011874999999999998,11,1,9,3,9,3,7,5,3,-0.01183673469387755,9,3,8,4,9,3,11,1
96,0,0.020606060606060603,3,5,7,1,7,1,6,2,1,-0.012727272727272726,4,4,4,4,8,0,6,2,2,-0.012195121951219511,10,0,7,3,6,4,6,4,3,-0.011874999999999998,10,2,11,1,10,2,7,5
97,0,0.03590909090909091,4,1,2,3,2,3,2,3,1,-0.013000000000000001,5,2,4,3,6,1,5,2,2,-0.012571428571428572,6,2,7,1,6,2,5,3,3,-0.012368421052631579,7,2,8,1,8,1,7,2
98,1,-0.012903225806451613,6,1,3,4,3,4,6,1,2,-0.012307692307692308,6,3,7,2,8,1,6,3,3,-0.012195121951219511,6,4,8,2,8,2,9,1,0,0.02607142857142857,5,2,5,2,6,1,4,3
99,2,-0.012647058823529412,4,4,4,4,8,0,6,2,0,0.02607142857142857,5,2,6,1,4,3,4,3,3,-0.012093023255813955,8,2,10,0,7,3,5,5,1,-0.012812500000000001,4,4,6,2,4,4,7,1
